LATITUDE,LONGITUDE,FIRE_YEAR,FIRE_SIZE,STATE
31.43666667,-95.15055556,2005,16,TX
34.05555556,-109.2388889,2005,0.1,AZ
33.33055556,-97.7625,2005,90,TX
33.355,-97.7675,2005,3,TX
34.04527778,-109.4758333,2005,1.5,AZ
33.34444444,-97.65222222,2005,40,TX
33.32361111,-97.64583333,2005,15,TX
34.40694444,-111.0077778,2005,0.1,AZ
43.82,-110.9652778,2005,0.1,WY
34.40027778,-111.01,2005,0.1,AZ
33.80138889,-109.4927778,2005,0.2,AZ
34.47722222,-110.9622222,2005,0.3,AZ
34.52305556,-111.0275,2005,0.1,AZ
34.53833333,-111.0208333,2005,1,AZ
35.6875,-105.7438889,2005,0.1,NM
35.785,-105.4119444,2005,1,NM
34.51694444,-111.0033333,2005,0.3,AZ
35.61777778,-105.6313889,2005,0.1,NM
34.14972222,-109.8758333,2005,0.3,AZ
34.20138889,-109.8841667,2005,0.1,AZ
34.45777778,-110.4658333,2005,0.1,AZ
42.84416667,-112.5227778,2005,0.1,ID
43.21083333,-111.0344444,2005,0.1,ID
34.06166667,-109.3477778,2005,1.5,AZ
38.76583333,-119.8877778,2005,0.25,CA
35.31111111,-111.4136111,2005,0.25,AZ
39.3975,-105.2461111,2005,0.25,CO
32.75194444,-110.0872222,2005,3,AZ
35.325,-111.525,2005,0.25,AZ
32.77305556,-109.9422222,2005,18,AZ
34.32833333,-110.0833333,2005,2,AZ
35.45638889,-111.5966667,2005,2,AZ
35.37027778,-111.5433333,2005,0.1,AZ
32.7925,-110.0811111,2005,11,AZ
34.15166667,-109.8675,2005,0.3,AZ
32.73972222,-110.0402778,2005,0.1,AZ
35.31972222,-111.5252778,2005,1.5,AZ
33.31722222,-108.8952778,2005,0.1,NM
32.80083333,-110.0083333,2005,3,AZ
32.6525,-109.8691667,2005,0.1,AZ
38.98916667,-119.8463889,2005,8,NV
39.3525,-105.1555556,2005,0.1,CO
45.13472222,-122.1797222,2005,0.1,OR
33.33111111,-108.3780556,2005,0.8,NM
33.68444444,-108.9816667,2005,0.3,NM
33.69277778,-109,2005,2,NM
34.89055556,-92.89138889,2005,2,AR
33.55972222,-108.9591667,2005,0.5,NM
33.28694444,-108.8686111,2005,2.5,NM
42.58694444,-121.1863889,2005,0.5,OR
33.11861111,-109,2005,0.3,NM
33.36305556,-108.6638889,2005,0.1,NM
34.16222222,-117.6816667,2005,0.1,CA
43.66194444,-102.8344444,2005,14.5,SD
33.36166667,-108.615,2005,0.3,NM
33.335,-108.6761111,2005,0.5,NM
42.69833333,-112.4188889,2005,0.1,ID
42.53222222,-121.1205556,2005,0.8,OR
33.66638889,-109,2005,0.1,NM
35.31694444,-111.4238889,2005,0.1,AZ
35.32805556,-111.4402778,2005,0.1,AZ
33.65222222,-109,2005,0.5,NM
35.54722222,-111.2083333,2005,0.1,AZ
33.33777778,-108.72,2005,1,NM
35.53083333,-111.4102778,2005,0.1,AZ
39.41277778,-105.1411111,2005,0.5,CO
35.46222222,-111.8027778,2005,0.75,AZ
33.00222222,-108.9352778,2005,0.1,NM
39.33805556,-105.1741667,2005,0.5,CO
33.66916667,-108.9519444,2005,2,NM
34.24222222,-117.8558333,2005,0.1,CA
39.2975,-105.0597222,2005,0.5,CO
35.25277778,-111.3844444,2005,0.25,AZ
39.29416667,-105.1927778,2005,0.1,CO
35.33277778,-111.5130556,2005,0.1,AZ
35.3575,-111.6216667,2005,0.1,AZ
34.22388889,-117.6675,2005,0.1,CA
35.34138889,-111.5086111,2005,0.1,AZ
35.32166667,-111.4672222,2005,0.1,AZ
39.34166667,-105.3213889,2005,0.5,CO
35.25305556,-111.6586111,2005,0.1,AZ
38.89694444,-120.7825,2005,0.1,CA
39.3325,-105.1980556,2005,0.1,CO
34.12222222,-117.7505556,2005,0.1,CA
39.36277778,-105.2122222,2005,0.1,CO
39.48055556,-105.1366667,2005,2,CO
33.66833333,-108.9686111,2005,2,NM
39.3075,-105.1344444,2005,0.1,CO
33.28416667,-108.6675,2005,0.1,NM
39.3525,-105.1555556,2005,0.3,CO
35.88638889,-118.4611111,2005,0.1,CA
39.38333333,-105.2933333,2005,0.5,CO
34.25,-117.6366667,2005,0.1,CA
35.76805556,-118.4361111,2005,0.1,CA
33.61833333,-108.9513889,2005,2,NM
33.21888889,-108.0025,2005,0.3,NM
34.16805556,-117.7686111,2005,0.1,CA
34.15166667,-117.7436111,2005,0.1,CA
46.99638889,-114.675,2005,0.1,MT
39.81722222,-120.4511111,2005,2.3,CA
33.92444444,-109.4152778,2005,0.1,AZ
33.87194444,-109.415,2005,0.1,AZ
